Class Name,Class Wise IoU,Class Wise Dice Score,Class Wise Accuracy,Class Wise Precision,Class Wise Recall
lake,0.99843720655713,0.9992179922537859,0.9985108766375326,0.9999261099617166,0.9985108765705549
settlement,0.9621420027006249,0.9807057814586481,0.9714387211367673,0.9901513498514365,0.97143872044658
shrub land,0.8943815765448053,0.9442464903120451,0.975319333189002,0.9150924214603039,0.9753193310774642
grass land,0.8554710361162345,0.9221065926803744,0.9593175853018373,0.8876745571108847,0.9593175821544698
homogenous forest,0.994460416524465,0.9972225155584071,0.9961368265786331,0.9983105722945864,0.9961368258789515
agriculture1 (with vegetation),0.8741312746172538,0.9328388979545965,0.9005568814638027,0.9675213633866607,0.9005568778816353
agriculture2 (without vegetation),0.9208860761419522,0.9588138398697076,0.9650510204081633,0.9526567591219925,0.9650510179462983
open area,0.8785714298104956,0.9353612225129754,0.9025157232704403,0.9706877004432052,0.9025157138101079
clove plantation,0.9821134868604919,0.9909760403531915,0.9984324380813042,0.9836301853354986,0.9984324370379011
mixed forest1,0.9710014208968923,0.9852873880891605,0.974468982107208,0.9963486990977802,0.9744689819863765
mixed forest2,0.9753704266407469,0.9875316685220987,0.995194631117271,0.9799858130949721,0.9951946310265257
rice field1,0.9089506186890337,0.9523039696660957,0.9703459637561779,0.9349206200806252,0.970345947770248
rice field2,0.9663355409317452,0.9828795972735342,0.9787590832867524,0.9870349464852453,0.9787590805512602
rice field3,0.9182813818638546,0.9574000893611476,0.9366943569177886,0.9790419132364014,0.9366943542346193
mixed garden,0.9865104721813615,0.9932094371100619,0.9896723646723646,0.9967718759082788,0.9896723611478904
grass land2,0.8758169944786193,0.9337979140514027,0.9528888888888889,0.9154568666485323,0.9528888804187655
grass land3,0.8660508114076025,0.928217835046809,0.8928571428571429,0.9664948204511645,0.8928571215986401
mixed garden2,0.9371990790512893,0.9675815874566872,0.9429233361415332,0.9935641345016332,0.9429233341555954
agroforestry,0.6972477203097376,0.8216216534696851,0.7638190954773869,0.8888888369070855,0.7638190570945197
clouds,0.9983320978508776,0.9991653530558906,0.9997030768659764,0.9986282066592659,0.9997030764949326
